horairedebitmax,debithorairemax,gid,nbvoies,Avg car by lane,distancelignearret,identifiantcontroleur,identifiantptm,lat,lon,moyennejoursouvrable,nom,positionnement,typecapteur,typepostemesure
08h00,1122,631,2,561,86,2176,1358,45.70749703,4.876976701,11537,1358_Semard_Sentuc_Depot SNCF,1358_VL,Capteur inductif Criter,Boucle inductive TV
08h00,378,636,1,378,88,2306,1535,45.73806139,4.853109357,4451,1535_Delore_Fonlupt_Vienne,1535_V,Capteur inductif Criter,Boucle inductive TV
08h00,231,637,1,231,108,2095,1500,45.76203446,4.88470115,2238,1500_Blanqui_Muriers_Tolstoi,1500_V,Capteur inductif Criter,Boucle inductive TV
08h00,438,639,1,438,88,606,1543,45.73675201,4.841048981,4766,1543_XBarret_Massini_Gerland,1543_V,Capteur inductif Criter,Boucle inductive TV
08h00,429,640,1,429,93,-1,1567,45.88111195,4.863892137,3433,1567_Centrales_Maures_Maejeon,1567_V,Capteur inductif Criter,Boucle inductive TV
08h00,664,643,1,664,97,489,1470,45.78424598,4.886207462,6455,1470_Einstein_Marie Antoinette_Bohr,1470_V,Capteur inductif Criter,Boucle inductive TV
08h00,418,644,1,418,89,541,1504,45.76276968,4.868614121,4700,1504_Baraban_St Sidoine_Lafayette,1504_V,Capteur inductif Criter,Boucle inductive TV
08h00,447,651,1,447,50,496,1774,45.75973099,4.847812449,5292,1774_Crequi _ Part Dieu _ Servient,1774_VL,Capteur inductif Criter,Boucle inductive TV
08h00,466,667,1,466,150,695,1420,45.77372616,4.795178645,6181,1420_Apollinaire_Bourbonnais Marietton,1420_V,Capteur inductif Criter,Boucle inductive TV
08h00,345,672,1,345,95,-1,1574,45.86899604,4.819436142,1903,1574_Monts d'Or_Tachon_Carrieres,1574_V,Capteur inductif Criter,Boucle inductive TV
08h00,1000,673,2,500,105,108,1447,45.75875769,4.826971695,11476,1447_Fulchiron_Pl. Crepu_Bonaparte,1447_VL,Capteur inductif Criter,Boucle inductive TV
08h00,416,679,2,208,103,2769,1040,45.71935591,4.954809134,2406,1040_Expositions_Parking_Grenoble,1040_VL,Capteur inductif Criter,Boucle inductive TV
08h00,723,694,1,723,108,368,918,45.76998751,4.812656967,6646,918_Koenig_Chauveau_St Vincent,918_V,Capteur inductif Criter,Boucle inductive TV
08h00,676,696,1,676,77,2294,919,45.78178444,4.810226077,5712,919_Commerce_Schumann_Danuble,919_V,Capteur inductif Criter,Boucle inductive TV
08h00,740,698,1,740,144,2295,921,45.77985253,4.808699255,6702,921_Jayr_Gare d'Eau_Masaryk,921_V,Capteur inductif Criter,Boucle inductive TV
08h00,629,699,1,629,57,2295,922,45.77984029,4.808755202,5556,922_Jayr_Masaryk_Schuman,922_V,Capteur inductif Criter,Boucle inductive TV
08h00,852,701,2,426,45,2295,924,45.78063205,4.808812408,8622,924_Gare d'Eau_Claire_St Cyr,924_VL,Capteur inductif Criter,Boucle inductive TV
08h00,199,702,1,199,126,-1,1400,45.80713186,4.837679821,1510,1400_Termier_Rochebozon_Faizan,1400_V,Capteur inductif Criter,Boucle inductive TV
08h00,718,716,1,718,999,-1,992,45.65152249,4.959341813,6109,992_Allende_Limite est_Liberation,992_V2,Capteur inductif Criter,Boucle inductive TV
08h00,1375,722,2,687.5,999,-1,969,45.83921051,4.739387442,12882,969_RD306_Dame_Cite,969_VR_2,Capteur inductif Criter,Boucle inductive TV
08h00,1067,728,3,355.6666667,103,2146,995,45.73439106,4.932525686,11327,995_Droits de l'Homme_Schuman_Marauders,995_VM,Capteur inductif Criter,Boucle inductive TV
08h00,1067,729,3,355.6666667,103,2146,995,45.73437286,4.932552587,11327,995_Droits de l'Homme_Schuman_Marauders,995_VR,Capteur inductif Criter,Boucle inductive TV
08h00,1067,730,3,355.6666667,103,2146,995,45.73440754,4.932494825,11327,995_Droits de l'Homme_Schuman_Marauders,995_VL,Capteur inductif Criter,Boucle inductive TV
08h00,756,738,2,378,99,-1,998,45.74356125,4.935610812,9074,998_Mermoz_7 Chemins_Charles de Gaulle,998_VR,Capteur inductif Criter,Boucle inductive TV
08h00,756,739,2,378,99,-1,998,45.74353055,4.935600525,9074,998_Mermoz_7 Chemins_Charles de Gaulle,998_VL,Capteur inductif Criter,Boucle inductive TV
08h00,1323,743,3,441,90,2223,999,45.78354726,4.848983041,10106,999_Charles de Gaulle_Interpol_Geoges V,999_VR,Capteur inductif Criter,Boucle inductive TV
08h00,917,744,3,305.6666667,101,2546,1065,45.7625355,4.856011698,11629,1065_Bonnel_Garibaldi_V.Merle,1065_VR,Capteur inductif Criter,Boucle inductive TV
08h00,1016,745,3,338.6666667,119,365,1066,45.75583693,4.85891657,11803,1066_V.Merle_Pensionnat_Bert,1066_VR,Capteur inductif Criter,Boucle inductive TV
08h00,1016,746,3,338.6666667,119,365,1066,45.75584019,4.858955023,11803,1066_V.Merle_Pensionnat_Bert,1066_VM,Capteur inductif Criter,Boucle inductive TV
08h00,1016,747,3,338.6666667,119,365,1066,45.75584345,4.858993476,11803,1066_V.Merle_Pensionnat_Bert,1066_VL,Capteur inductif Criter,Boucle inductive TV
08h00,304,752,1,304,126,351,1068,45.75920804,4.864771839,2887,1068_Pompidou_Gandoliere_Flandin,1068_V,Capteur inductif Criter,Boucle inductive TV
08h00,356,756,1,356,113,2371,1074,45.75963787,4.874090223,3182,1074_Gillet_Pascal_Cite,1074_V,Capteur inductif Criter,Boucle inductive TV
08h00,605,758,2,302.5,117,-1,1076,45.74925705,4.8969113,3895,1076_Pinel_Bellevue_Chevalier,1076_VR,Capteur inductif Criter,Boucle inductive TV
08h00,605,759,2,302.5,117,-1,1076,45.74926513,4.896873376,3895,1076_Pinel_Bellevue_Chevalier,1076_VL,Capteur inductif Criter,Boucle inductive TV
08h00,699,763,2,349.5,77,438,1079,45.76716939,4.861636657,7709,1079_Rambaud_Emeraudes_Viabert,1079_VR,Capteur inductif Criter,Boucle inductive TV
08h00,699,764,2,349.5,77,438,1079,45.76716703,4.861604132,7709,1079_Rambaud_Emeraudes_Viabert,1079_VL,Capteur inductif Criter,Boucle inductive TV
08h00,612,767,1,612,87,543,1081,45.76633686,4.864690334,6857,1081_Viabert_Ste. Genevieve_Bellecombe,1081_V,Capteur inductif Criter,Boucle inductive TV
08h00,199,772,1,199,105,449,1088,45.77646093,4.867365376,1609,1088_Condorcet_Galline_Bruxelles,1088_V,Capteur inductif Criter,Boucle inductive TV
